continent,,name,entity_subtype,country,latitude,longitude,has_thumbnail,page_views,entity_type,total_area,population,is_test,continent
Africa,3245,"Tokai, Cape Town",PopulatedPlace,South Africa,-34.0625,18.4417,1,22817.0,populated_place,1050000.0,2568.0,True,Africa
Africa,3246,"Glencoe, KwaZulu-Natal",PopulatedPlace,South Africa,-28.1833,30.15,0,10050.0,populated_place,26580000.0,17548.0,False,Africa
Africa,3247,Bronkhorstspruit Dam,Dam,South Africa,-25.8875,28.7208,1,9283.0,structure,,,False,Africa
Africa,3248,Gauteng,Region,South Africa,-26.0,28.0,1,833281.0,populated_place,18176000000.0,12272263.0,False,Africa
Africa,3249,Cape St. Francis,PopulatedPlace,South Africa,-34.1969,24.8381,1,31579.0,populated_place,4380000.0,342.0,False,Africa
Africa,3250,Bordj Bou Arréridj,PopulatedPlace,Algeria,36.0667,4.76667,1,17345.0,populated_place,81100000.0,158812.0,True,Africa
Africa,3251,Pongolapoort Dam,Dam,South Africa,-27.4183,32.0714,1,17021.0,structure,,,False,Africa
Africa,3252,Clanwilliam Dam,Dam,South Africa,-32.1847,18.8669,1,9595.0,structure,,,True,Africa
Africa,3253,Melkbosstrand,PopulatedPlace,South Africa,-33.7333,18.4333,1,30980.0,populated_place,35640000.0,11586.0,True,Africa
Africa,3254,Ngong Hills Wind Power Station,PowerStation,Kenya,-1.38111,36.6356,1,8289.0,structure,,,False,Africa
Africa,3255,Bloemhof,PopulatedPlace,South Africa,-27.65,25.59,1,19064.0,populated_place,47330000.0,2339.0,False,Africa
Africa,3256,Rumuruti,PopulatedPlace,Kenya,0.25996,36.5363,0,13020.0,populated_place,,31649.0,False,Africa
Africa,3257,Mount Fletcher,PopulatedPlace,South Africa,-30.692,28.503,0,13897.0,populated_place,9230000.0,11488.0,False,Africa
Africa,3258,Naivasha,PopulatedPlace,Kenya,-0.716667,36.4333,1,59410.0,populated_place,,198444.0,True,Africa
Africa,3259,Barkly West,PopulatedPlace,South Africa,-28.5381,24.5186,1,17947.0,populated_place,73100000.0,20105.0,True,Africa
Africa,3260,Béchar,PopulatedPlace,Algeria,31.6167,-2.21667,1,31863.0,populated_place,5050000000.0,165627.0,False,Africa
Africa,3261,Hoima District,Region,Uganda,1.41667,31.0833,1,17397.0,populated_place,,548800.0,False,Africa
Africa,3262,Ekangala,PopulatedPlace,South Africa,-25.68,28.738,0,10211.0,populated_place,46050000.0,48493.0,True,Africa
Africa,3263,Laikipia County,Region,Kenya,0.0833333,36.6667,1,66147.0,populated_place,8696100000.0,518560.0,False,Africa
Africa,3264,Skikda Province,PopulatedPlace,Algeria,36.8667,6.9,1,10349.0,populated_place,4026000000.0,904195.0,False,Africa
Africa,3265,"El Tor, Egypt",PopulatedPlace,Egypt,28.2417,33.6222,1,30667.0,populated_place,,32877.0,False,Africa
Africa,3266,Nairobi,PopulatedPlace,Kenya,-1.28639,36.8172,1,2371378.0,populated_place,696100000.0,4397073.0,False,Africa
Africa,3267,UMhlabuyalingana Local Municipality,PopulatedPlace,South Africa,-27.0167,32.7333,1,13879.0,populated_place,3964000000.0,156736.0,True,Africa
Africa,3268,Lesedi Local Municipality,PopulatedPlace,South Africa,-26.5,28.5,1,14102.0,populated_place,1484000000.0,99520.0,False,Africa
Africa,3269,Masindi District,Region,Uganda,1.68333,31.7333,1,13239.0,populated_place,,352400.0,True,Africa
Africa,3270,"Balfour, Mpumalanga",PopulatedPlace,South Africa,-26.65,28.5833,1,16286.0,populated_place,12060000.0,3201.0,False,Africa
Africa,3271,Protea Glen,PopulatedPlace,South Africa,-26.2804,27.8204,0,21100.0,populated_place,13120000.0,75634.0,False,Africa
Africa,3272,Mqanduli,PopulatedPlace,South Africa,-31.8167,28.75,0,9569.0,populated_place,9880000.0,2647.0,False,Africa
Africa,3273,Kisii County,Region,Kenya,-0.666667,34.75,1,39117.0,populated_place,1317900000.0,1266860.0,False,Africa
Africa,3274,Masii,PopulatedPlace,Kenya,-1.47,37.43,0,6490.0,populated_place,,2501.0,False,Africa
Africa,3275,Lobito,PopulatedPlace,Angola,-12.3667,13.5333,1,41727.0,populated_place,2562000000.0,393079.0,False,Africa
Africa,3276,Grootvlei Power Station,PowerStation,South Africa,-26.7667,28.5,0,8458.0,structure,,,False,Africa
Africa,3277,Bothaville,PopulatedPlace,South Africa,-27.3833,26.6167,1,22431.0,populated_place,43000000.0,46030.0,True,Africa
Africa,3278,Western Cape,Region,South Africa,-34.0,20.0,1,639318.0,populated_place,129462000000.0,5822734.0,False,Africa
Africa,3279,Masiphumelele,PopulatedPlace,South Africa,-34.1167,18.3667,1,18374.0,populated_place,390000.0,15969.0,False,Africa
Africa,3280,Nakuru,PopulatedPlace,Kenya,-0.3,36.0667,1,126216.0,populated_place,,570674.0,True,Africa
Africa,3281,Malumfashi,PopulatedPlace,Nigeria,11.8,7.61667,1,12307.0,populated_place,674000000.0,182920.0,False,Africa
Africa,3282,Fraserburg,PopulatedPlace,South Africa,-31.9144,21.5119,1,12418.0,populated_place,98880000.0,3029.0,False,Africa
Africa,3283,Mpumalanga,Region,South Africa,-26.0,30.0,1,340045.0,populated_place,76495000000.0,4039939.0,False,Africa
Africa,3284,Mallawi,PopulatedPlace,Egypt,27.7319,30.8411,1,17538.0,populated_place,,152198.0,False,Africa
Africa,3285,De Rust,PopulatedPlace,South Africa,-33.4667,22.5167,1,11552.0,populated_place,17630000.0,3566.0,False,Africa
Africa,3286,"Carolina, Mpumalanga",PopulatedPlace,South Africa,-26.067,30.117,0,18654.0,populated_place,14660000.0,16846.0,False,Africa
Africa,3287,"Bantry Bay, Cape Town",PopulatedPlace,South Africa,-33.9275,18.3803,1,22175.0,populated_place,380000.0,820.0,False,Africa
Africa,3288,Isimba Hydroelectric Power Station,Dam,Uganda,0.771667,33.0422,0,12516.0,structure,,,False,Africa
Africa,3289,Nyamira County,Region,Kenya,-0.75,35.0,1,32826.0,populated_place,912500000.0,605576.0,False,Africa
Africa,3290,Botrivier,PopulatedPlace,South Africa,-34.2258,19.205,0,9673.0,populated_place,1930000.0,5505.0,False,Africa
Africa,3291,Nebbi District,Region,Uganda,2.45,31.25,1,11316.0,populated_place,1953200000.0,346200.0,False,Africa
Africa,3292,Cofimvaba,PopulatedPlace,South Africa,-32.0025,27.5806,0,16833.0,populated_place,21190000.0,8783.0,False,Africa
Africa,3293,Iganga District,Region,Uganda,0.6,33.5,1,17844.0,populated_place,,499600.0,False,Africa
Africa,3294,Moqhaka Local Municipality,PopulatedPlace,South Africa,-27.65,27.2333,1,10850.0,populated_place,7925000000.0,160532.0,False,Africa
Africa,3295,Benguela Province,Region,Angola,-12.6667,14.0167,1,19060.0,populated_place,39826000000.0,2231385.0,False,Africa
Africa,3296,Buffelsbaai,PopulatedPlace,South Africa,-34.0833,22.9667,1,7269.0,populated_place,820000.0,71.0,True,Africa
Africa,3297,"Bahati, Nairobi",PopulatedPlace,Kenya,-1.28,36.85,0,8898.0,populated_place,,55082.0,True,Africa
Africa,3298,"Rosebank, Gauteng",PopulatedPlace,South Africa,-26.1453,28.0406,1,37594.0,populated_place,1420000.0,1085.0,False,Africa
Africa,3299,Mécheria,PopulatedPlace,Algeria,33.55,-0.283333,1,16365.0,populated_place,,120312.0,False,Africa
Africa,3300,KaXu Solar One,PowerStation,South Africa,-28.8811,19.5931,0,5861.0,structure,,,False,Africa
Africa,3301,Mpophomeni,PopulatedPlace,South Africa,-29.567,30.182,1,5972.0,populated_place,4580000.0,25732.0,True,Africa
Africa,3302,Garies,PopulatedPlace,South Africa,-30.5578,17.9894,1,10220.0,populated_place,69440000.0,2105.0,False,Africa
Africa,3303,Qena Governorate,PopulatedPlace,Egypt,26.209,32.768,1,35422.0,populated_place,9565000000.0,3224000.0,False,Africa
Africa,3304,Tsolo,PopulatedPlace,South Africa,-31.3167,28.75,0,26942.0,populated_place,46740000.0,7794.0,True,Africa
Africa,3305,Makapanstad,PopulatedPlace,South Africa,-25.239,28.116,0,9292.0,populated_place,20450000.0,15076.0,False,Africa
Africa,3306,Huambo,PopulatedPlace,Angola,-12.7767,15.7347,1,49950.0,populated_place,2711000000.0,713134.0,False,Africa
Africa,3307,Modjadjiskloof,PopulatedPlace,South Africa,-23.7,30.1333,0,11987.0,populated_place,2990000.0,1815.0,False,Africa
Africa,3308,Brakpan,PopulatedPlace,South Africa,-26.2353,28.37,1,53602.0,populated_place,182810000.0,73080.0,False,Africa
Africa,3309,"Ennerdale, Gauteng",PopulatedPlace,South Africa,-26.4097,27.8369,0,15341.0,populated_place,21330000.0,71815.0,True,Africa
Africa,3310,"Minya, Egypt",PopulatedPlace,Egypt,28.1194,30.7444,1,75326.0,populated_place,,256732.0,False,Africa
Africa,3311,Bulambuli District,Region,Uganda,1.36667,34.15,1,7724.0,populated_place,,125400.0,False,Africa
Africa,3312,Sodwana Bay,BodyOfWater,South Africa,-27.5333,32.6833,1,24374.0,natural_place,,,False,Africa
Africa,3313,Witwatersrand,MountainRange,South Africa,-26.2036,28.0428,1,176758.0,natural_place,,,False,Africa
Africa,3314,Loskop Dam,Dam,South Africa,-25.4169,29.3503,0,12216.0,structure,,,False,Africa
Africa,3315,Annaba Province,PopulatedPlace,Algeria,36.9,7.76667,1,14795.0,populated_place,1439000000.0,640050.0,False,Africa
Africa,3316,"Boki, Nigeria",PopulatedPlace,Nigeria,6.27389,9.01,1,23499.0,populated_place,2771000000.0,186611.0,False,Africa
Africa,3317,Manenberg,PopulatedPlace,South Africa,-33.9833,18.55,1,41450.0,populated_place,3350000.0,52877.0,False,Africa
Africa,3318,"Delmas, Mpumalanga",PopulatedPlace,South Africa,-26.15,28.6833,0,32104.0,populated_place,8740000.0,7399.0,False,Africa
Africa,3319,Emthanjeni Local Municipality,PopulatedPlace,South Africa,-30.6667,24.0,1,6881.0,populated_place,13472000000.0,42356.0,False,Africa
Africa,3320,Breede Valley Local Municipality,PopulatedPlace,South Africa,-33.6667,19.5,1,13111.0,populated_place,3833000000.0,166825.0,False,Africa
Africa,3321,Jozini Local Municipality,PopulatedPlace,South Africa,-27.4292,32.0667,1,8906.0,populated_place,3442000000.0,186502.0,False,Africa
Africa,3322,"Bethanie, North West",PopulatedPlace,South Africa,-25.554,27.606,1,7633.0,populated_place,27870000.0,8429.0,False,Africa
Africa,3323,Koeberg Nuclear Power Station,PowerStation,South Africa,-33.6764,18.432,1,107983.0,structure,,,False,Africa
Africa,3324,Msambweni,PopulatedPlace,Kenya,-4.47,39.48,1,16647.0,populated_place,,11985.0,False,Africa
Africa,3325,"Lichtenburg, North West",PopulatedPlace,South Africa,-26.15,26.1667,1,46514.0,populated_place,108900000.0,26338.0,False,Africa
Africa,3326,Jinja District,Region,Uganda,0.5,33.2,1,15856.0,populated_place,,501300.0,False,Africa
Africa,3327,"Tonga, Mpumalanga",PopulatedPlace,South Africa,-25.675,31.877,0,7098.0,populated_place,7470000.0,17333.0,False,Africa
Africa,3328,Cuanza Norte Province,Region,Angola,-9.01667,15.0667,1,10346.0,populated_place,24110000000.0,443386.0,False,Africa
Africa,3329,Mkhondo Local Municipality,PopulatedPlace,South Africa,-26.55,29.1667,1,11639.0,populated_place,4882000000.0,171982.0,False,Africa
Africa,3330,Rukiga District,Region,Uganda,-1.18333,30.1,0,8446.0,populated_place,426300000.0,100726.0,False,Africa
Africa,3331,"Lukaya, Uganda",PopulatedPlace,Uganda,-0.150833,31.8744,0,5783.0,populated_place,,24250.0,True,Africa
Africa,3332,Enugu South,PopulatedPlace,Nigeria,6.4,7.5,1,13915.0,populated_place,67000000.0,198723.0,True,Africa
Africa,3333,Mohlakeng,PopulatedPlace,South Africa,-26.2256,27.6969,0,11080.0,populated_place,7200000.0,55033.0,False,Africa
Africa,3334,Nababeep,PopulatedPlace,South Africa,-29.59,17.784,0,7443.0,populated_place,123130000.0,5374.0,True,Africa
Africa,3335,"Western Region, Uganda",Region,Uganda,-0.65,30.6833,1,46870.0,populated_place,55276600000.0,8874862.0,False,Africa
Africa,3336,Tipaza Province,PopulatedPlace,Algeria,36.5833,2.43333,1,12195.0,populated_place,2166000000.0,617661.0,False,Africa
Africa,3337,Lake Albert (Africa),River,Uganda,1.68333,30.9167,1,83258.0,natural_place,5300000000.0,,False,Africa
Africa,3338,Aïn Témouchent,PopulatedPlace,Algeria,35.3,-1.13333,1,18939.0,populated_place,78930000.0,75558.0,False,Africa
Africa,3339,Zuurbekom,PopulatedPlace,South Africa,-26.3,27.7833,0,9075.0,populated_place,,3449.0,False,Africa
Africa,3340,Groot Winterhoek,Mountain,South Africa,-33.03,19.1047,1,5944.0,natural_place,,,True,Africa
Africa,3341,Van Reenen,PopulatedPlace,South Africa,-28.376,29.381,1,7540.0,populated_place,480000.0,78.0,False,Africa
Africa,3342,"Capital Park, Pretoria",PopulatedPlace,South Africa,-25.7272,28.1886,1,9210.0,populated_place,3420000.0,8094.0,False,Africa
Africa,3343,Zemmouri,PopulatedPlace,Algeria,36.7833,3.6,1,6822.0,populated_place,,26408.0,False,Africa
Africa,3344,Dokolo District,Region,Uganda,1.91667,33.1667,1,6700.0,populated_place,1072800000.0,183400.0,True,Africa
Africa,3345,Mbale District,Region,Uganda,0.95,34.3333,1,17965.0,populated_place,,441300.0,False,Africa
Africa,3346,"Blairgowrie, Gauteng",PopulatedPlace,South Africa,-26.1164,28.0094,0,8195.0,populated_place,4190000.0,12049.0,False,Africa
Africa,3347,Mityana District,Region,Uganda,0.45,32.05,1,13268.0,populated_place,,311600.0,False,Africa
Africa,3348,Greater Cairo,PopulatedPlace,Egypt,30.05,31.3667,1,136138.0,populated_place,,20901000.0,False,Africa
Africa,3349,Munsieville,PopulatedPlace,South Africa,-26.075,27.753,0,11553.0,populated_place,1550000.0,19128.0,False,Africa
Africa,3350,Steelpoort,PopulatedPlace,South Africa,-24.73,30.2,0,20352.0,populated_place,3110000.0,1105.0,False,Africa
Africa,3351,Hartbeespoort Dam,Dam,South Africa,-25.7256,27.8483,1,84250.0,structure,,,False,Africa
Africa,3352,UMshwathi Local Municipality,PopulatedPlace,South Africa,-29.4314,30.5806,1,8429.0,populated_place,1818000000.0,106374.0,False,Africa
Africa,3353,Britannia Bay,PopulatedPlace,South Africa,-32.717,17.954,0,6762.0,populated_place,1490000.0,210.0,False,Africa
Africa,3354,Three Anchor Bay,PopulatedPlace,South Africa,-33.9083,18.3958,1,8473.0,populated_place,290000.0,2225.0,False,Africa
Africa,3355,Suez,PopulatedPlace,Egypt,29.9667,32.55,1,206221.0,populated_place,250400000.0,744189.0,False,Africa
Africa,3356,Mwingi,PopulatedPlace,Kenya,-0.933333,38.05,1,23148.0,populated_place,,15970.0,False,Africa
Africa,3357,Moroto Town,PopulatedPlace,Uganda,2.53,34.67,1,11541.0,populated_place,,16300.0,True,Africa
Africa,3358,Kusile Power Station,PowerStation,South Africa,-25.9164,28.9172,1,57246.0,structure,,,False,Africa
Africa,3359,"Blackheath, Gauteng",PopulatedPlace,South Africa,-26.1333,27.9667,0,5011.0,populated_place,1020000.0,2407.0,True,Africa
Africa,3360,City of Cape Town,PopulatedPlace,South Africa,-34.0,18.5,1,143400.0,populated_place,2445000000.0,3740026.0,True,Africa
Africa,3361,Borg El Arab,PopulatedPlace,Egypt,30.8489,29.6117,1,19942.0,populated_place,,113209.0,False,Africa
Africa,3362,Algoa Bay,BodyOfWater,South Africa,-33.8333,25.8333,1,43546.0,natural_place,,,False,Africa
Africa,3363,Luanda Province,Region,Angola,-8.983,13.283,1,35784.0,populated_place,18835000000.0,6945386.0,False,Africa
Africa,3364,Constantine Province,PopulatedPlace,Algeria,36.35,6.6,1,20001.0,populated_place,2187000000.0,1012643.0,False,Africa
Africa,3365,Madadeni,PopulatedPlace,South Africa,-27.75,30.062,0,15086.0,populated_place,27960000.0,119497.0,False,Africa
Africa,3366,Phalaborwa,PopulatedPlace,South Africa,-23.9333,31.1167,1,75519.0,populated_place,193330000.0,13108.0,False,Africa
Africa,3367,Geidam,PopulatedPlace,Nigeria,12.7167,12.0333,0,7084.0,populated_place,4357000000.0,157295.0,True,Africa
Africa,3368,Moses Kotane Local Municipality,PopulatedPlace,South Africa,-25.1667,26.8333,1,13411.0,populated_place,5719000000.0,242554.0,False,Africa
Africa,3369,Caxito,PopulatedPlace,Angola,-8.58,13.6642,1,7856.0,populated_place,167000000.0,77276.0,False,Africa
Africa,3370,Pretoria,PopulatedPlace,South Africa,-25.7461,28.1881,1,1570663.0,populated_place,687540000.0,741651.0,False,Africa
Africa,3371,Demsa,PopulatedPlace,Nigeria,9.41667,12.1333,0,7763.0,populated_place,,180251.0,False,Africa
Africa,3372,KwaZulu-Natal,Region,South Africa,-30.5764,30.5764,1,730749.0,populated_place,94361000000.0,11100000.0,True,Africa
Africa,3373,Craighall,PopulatedPlace,South Africa,-26.1143,28.0256,0,6121.0,populated_place,1370000.0,2639.0,False,Africa
Africa,3374,Mookgophong,PopulatedPlace,South Africa,-24.5167,28.7167,0,13280.0,populated_place,27180000.0,24853.0,False,Africa
Africa,3375,"Epe, Lagos State",PopulatedPlace,Nigeria,6.58333,3.98333,1,6907.0,populated_place,965000000.0,181409.0,False,Africa
Africa,3376,Mokopane,PopulatedPlace,South Africa,-24.1839,29.0128,1,54146.0,populated_place,75130000.0,30151.0,False,Africa
Africa,3377,Isingiro District,Region,Uganda,-0.833333,30.8333,1,15860.0,populated_place,2655600000.0,420200.0,False,Africa
Africa,3378,Bethulie,PopulatedPlace,South Africa,-30.4667,25.9667,1,16988.0,populated_place,37000000.0,6497.0,False,Africa
Africa,3379,Siwa Oasis,PopulatedPlace,Egypt,29.2053,25.5194,1,557702.0,populated_place,,32741.0,False,Africa
Africa,3380,"Lindley, Free State",PopulatedPlace,South Africa,-27.8667,27.9167,1,13101.0,populated_place,23000000.0,12000.0,False,Africa
Africa,3381,Lotus Gardens,PopulatedPlace,South Africa,-25.7486,28.0856,0,10113.0,populated_place,2570000.0,10547.0,False,Africa
Africa,3382,Mashi,PopulatedPlace,Nigeria,13.1,8.0,0,6591.0,populated_place,905000000.0,173134.0,False,Africa
Africa,3383,Lake Chew Bahir,Lake,Kenya,4.71667,36.95,1,9848.0,natural_place,,,False,Africa
Africa,3384,Timimoun,PopulatedPlace,Algeria,29.2628,-0.238889,1,17295.0,populated_place,,33060.0,False,Africa
Africa,3385,Lwandle,PopulatedPlace,South Africa,-34.1211,18.8654,0,6319.0,populated_place,1210000.0,19818.0,False,Africa
Africa,3386,Babura,PopulatedPlace,Nigeria,12.6333,8.96667,0,7982.0,populated_place,992000000.0,208101.0,False,Africa
Africa,3387,Ugwunagbo,PopulatedPlace,Nigeria,4.98447,7.32578,0,6049.0,populated_place,108000000.0,97710.0,False,Africa
Africa,3388,Msunduzi Local Municipality,PopulatedPlace,South Africa,-29.6167,30.3833,1,21175.0,populated_place,634000000.0,618536.0,True,Africa
Africa,3389,Mossel Bay,PopulatedPlace,South Africa,-34.1833,22.1333,1,144639.0,populated_place,36800000.0,99000.0,True,Africa
Africa,3390,Motswedi,PopulatedPlace,South Africa,-25.279,25.885,0,5795.0,populated_place,4540000.0,2794.0,False,Africa
Africa,3391,"El Wak, Kenya",PopulatedPlace,Kenya,2.80278,40.9275,1,10763.0,populated_place,,60732.0,False,Africa
Africa,3392,Albert Falls Dam,Dam,South Africa,-29.4361,30.3883,0,6620.0,structure,,,True,Africa
Africa,3393,Oguta Lake,Lake,Nigeria,5.70667,6.7925,1,17574.0,natural_place,,,False,Africa
Africa,3394,Umzimkhulu Local Municipality,PopulatedPlace,South Africa,-30.2625,29.9208,1,10946.0,populated_place,2435000000.0,180302.0,False,Africa
Africa,3395,Homa Bay,PopulatedPlace,Kenya,-0.516667,34.45,1,24280.0,populated_place,,44949.0,False,Africa
Africa,3396,Medupi Power Station,PowerStation,South Africa,-23.7,27.55,1,79038.0,structure,,,True,Africa
Africa,3397,"St Cyprian's Cathedral, Kimberley",HistoricBuilding,South Africa,-28.7425,24.7706,1,5047.0,structure,,,False,Africa
Africa,3398,Sterkspruit,PopulatedPlace,South Africa,-30.524,27.37,1,23878.0,populated_place,4020000.0,1893.0,False,Africa
Africa,3399,UMdoni Local Municipality,PopulatedPlace,South Africa,-30.2833,30.75,1,7775.0,populated_place,252000000.0,78875.0,False,Africa
Africa,3400,Rouxville,PopulatedPlace,South Africa,-30.4167,26.8333,1,8750.0,populated_place,16820000.0,780.0,False,Africa
Africa,3401,Bultfontein,PopulatedPlace,South Africa,-28.2869,26.1506,1,12173.0,populated_place,44000000.0,23365.0,False,Africa
Africa,3402,Sandton,PopulatedPlace,South Africa,-26.107,28.0517,1,260977.0,populated_place,143540000.0,222415.0,False,Africa
Africa,3403,Bergrivier Local Municipality,PopulatedPlace,South Africa,-32.75,18.75,1,10307.0,populated_place,4407000000.0,61897.0,False,Africa
Africa,3404,Dawakin Tofa,PopulatedPlace,Nigeria,12.1028,8.33139,0,7770.0,populated_place,479000000.0,247875.0,False,Africa
Africa,3405,"Saïda, Algeria",PopulatedPlace,Algeria,34.8333,0.15,1,19582.0,populated_place,75620000.0,142497.0,False,Africa
Africa,3406,Fune,PopulatedPlace,Nigeria,11.8833,11.9,0,8816.0,populated_place,4948000000.0,300760.0,False,Africa
Africa,3407,"Schoonoord, South Africa",PopulatedPlace,South Africa,-24.749,30.01,0,5428.0,populated_place,12360000.0,7556.0,True,Africa
Africa,3408,Vredenburg,PopulatedPlace,South Africa,-32.9064,17.9958,1,34854.0,populated_place,13750000.0,38382.0,True,Africa
Africa,3409,Bouïra,PopulatedPlace,Algeria,36.3667,3.90139,1,10515.0,populated_place,127550000.0,88801.0,False,Africa
Africa,3410,Médéa Province,PopulatedPlace,Algeria,36.2667,2.75,1,10639.0,populated_place,8866000000.0,830943.0,False,Africa
Africa,3411,Hofmeyr,PopulatedPlace,South Africa,-31.6333,25.8,1,7507.0,populated_place,16900000.0,3680.0,False,Africa
Africa,3412,Paulpietersburg,PopulatedPlace,South Africa,-27.4167,30.8167,1,17390.0,populated_place,36560000.0,1859.0,False,Africa
Africa,3413,Ou Raadsaal,Building,South Africa,-25.7472,28.1878,1,9319.0,structure,,,False,Africa
Africa,3414,Lake Mariout,Lake,Egypt,31.1531,29.8986,1,39729.0,natural_place,50000000.0,,False,Africa
Africa,3415,Bloemhof Dam,Dam,South Africa,-27.6708,25.6278,1,12047.0,structure,,,False,Africa
Africa,3416,Umjindi Local Municipality,PopulatedPlace,South Africa,-25.75,31.0,1,6199.0,populated_place,1745000000.0,69577.0,False,Africa
Africa,3417,Rustenburg Local Municipality,PopulatedPlace,South Africa,-25.6667,27.3333,1,24496.0,populated_place,3423000000.0,549575.0,False,Africa
Africa,3418,Sagbama,PopulatedPlace,Nigeria,5.16667,6.2,0,10242.0,populated_place,945000000.0,187146.0,True,Africa
Africa,3419,Zagazig,PopulatedPlace,Egypt,30.5667,31.5,1,60266.0,populated_place,,529200.0,False,Africa
Africa,3420,Mahlabathini,PopulatedPlace,South Africa,-30.679,30.162,0,6238.0,populated_place,11430000.0,1665.0,False,Africa
Africa,3421,Genadendal Residence,Building,South Africa,-33.9643,18.4652,1,32775.0,structure,,,False,Africa
Africa,3422,"Salt River, Cape Town",PopulatedPlace,South Africa,-33.9328,18.4575,1,21275.0,populated_place,2750000.0,6577.0,False,Africa
Africa,3423,Benha,PopulatedPlace,Egypt,30.4667,31.1875,1,19611.0,populated_place,,165906.0,False,Africa
Africa,3424,Bir Mourad Raïs,PopulatedPlace,Algeria,36.735,3.045,1,6124.0,populated_place,,45345.0,True,Africa
Africa,3425,"Meadowlands, Gauteng",PopulatedPlace,South Africa,-26.2208,27.8994,0,29704.0,populated_place,11570000.0,138354.0,False,Africa
Africa,3426,Kumi District,Region,Uganda,1.5,33.95,1,9390.0,populated_place,,255500.0,True,Africa
Africa,3427,Mbarara district,PopulatedPlace,Uganda,-0.6,30.6,1,5100.0,populated_place,1846400000.0,445600.0,False,Africa
Africa,3428,Msinga Local Municipality,PopulatedPlace,South Africa,-28.7461,30.4525,1,14446.0,populated_place,2501000000.0,177577.0,False,Africa
Africa,3429,"Northern Region, Uganda",Region,Uganda,2.78333,32.3,1,42947.0,populated_place,85391700000.0,7188139.0,True,Africa
Africa,3430,Coast Province,Region,Kenya,-3.0,39.5,1,67410.0,populated_place,79686100000.0,3325307.0,False,Africa
