name,entity_subtype,country,latitude,longitude,has_thumbnail,page_views,entity_type,total_area,population,is_test,continent
Melano,PopulatedPlace,Switzerland,45.9167,8.98333,1,10788.0,populated_place,4640000.0,1172.0,False,Europe
Kilkis (regional unit),Region,Greece,41.0,22.8333,1,13280.0,populated_place,2519000000.0,70648.0,False,Europe
"Stamford Bridge, East Riding of Yorkshire",PopulatedPlace,United Kingdom,53.989,-0.912544,1,119910.0,populated_place,,3528.0,False,Europe
Congresbury,PopulatedPlace,United Kingdom,51.3677,-2.8109,1,13583.0,populated_place,,3497.0,False,Europe
Unterseen,PopulatedPlace,Switzerland,46.6833,7.85,1,12019.0,populated_place,13990000.0,2010.0,False,Europe
Shipton Bellinger,PopulatedPlace,United Kingdom,51.207,-1.669,1,5067.0,populated_place,,1504.0,True,Europe
"Cabras, Sardinia",PopulatedPlace,Italy,39.9333,8.53333,1,6461.0,populated_place,102260000.0,9165.0,False,Europe
Rylstone,PopulatedPlace,United Kingdom,54.0244,-2.0479,1,8673.0,populated_place,,160.0,False,Europe
Broek op Langedijk,PopulatedPlace,Netherlands,52.6725,4.80556,1,21149.0,populated_place,4650000.0,6150.0,False,Europe
Santa Apolónia railway station,RailwayLine,Portugal,38.7136,-9.12317,1,13900.0,structure,,,False,Europe
Montecatini Val di Cecina,PopulatedPlace,Italy,43.3936,10.75,1,5936.0,populated_place,155190000.0,1768.0,False,Europe
"Holy Trinity Church, Cambridge",HistoricBuilding,United Kingdom,52.2059,0.1203,1,7993.0,structure,,,False,Europe
Caerano di San Marco,PopulatedPlace,Italy,45.7833,11.9333,1,7890.0,populated_place,12090000.0,7813.0,True,Europe
Boezinge,PopulatedPlace,Belgium,50.8959,2.85576,1,7478.0,populated_place,17720000.0,2216.0,False,Europe
Rhymney,PopulatedPlace,United Kingdom,51.759,-3.283,1,27933.0,populated_place,,8845.0,True,Europe
Llanfyllin,PopulatedPlace,United Kingdom,52.7658,-3.2727,1,23905.0,populated_place,,1532.0,False,Europe
Stowmarket,PopulatedPlace,United Kingdom,52.19,1.0,1,69532.0,populated_place,,19280.0,True,Europe
Oliwa Cathedral,HistoricBuilding,Poland,54.411,18.5589,1,21244.0,structure,,,False,Europe
Messenia,Region,Greece,37.1667,22.0,1,101402.0,populated_place,2991000000.0,159954.0,False,Europe
Bolekhiv,PopulatedPlace,Ukraine,49.0669,23.8514,1,12676.0,populated_place,,10330.0,False,Europe
Schoonebeek,PopulatedPlace,Netherlands,52.6612,6.8801,1,5115.0,populated_place,26490000.0,4865.0,False,Europe
Cervinara,PopulatedPlace,Italy,41.0214,14.6153,1,6714.0,populated_place,29340000.0,9493.0,False,Europe
Zhmerynka,PopulatedPlace,Ukraine,49.05,28.1,1,11954.0,populated_place,18260000.0,33754.0,False,Europe
Montevarchi,PopulatedPlace,Italy,43.5286,11.57,1,19015.0,populated_place,56670000.0,24440.0,False,Europe
Biggesee,Dam,Germany,51.1103,7.89583,1,8097.0,structure,,,False,Europe
Sant'Alfio,PopulatedPlace,Italy,37.75,15.1333,1,6075.0,populated_place,23600000.0,1582.0,False,Europe
Vansbro,PopulatedPlace,Sweden,60.5167,14.2167,1,5278.0,populated_place,3310000.0,2026.0,False,Europe
"Buckland, Oxfordshire",PopulatedPlace,United Kingdom,51.679,-1.506,1,14552.0,populated_place,18230000.0,588.0,False,Europe
Deeping St James,PopulatedPlace,United Kingdom,52.6717,-0.29955,1,12185.0,populated_place,,6923.0,False,Europe
"Aquino, Italy",PopulatedPlace,Italy,41.5,13.7,1,28209.0,populated_place,19000000.0,4958.0,False,Europe
Sviatohirsk Lavra,Building,Ukraine,49.0281,37.5676,1,10939.0,structure,,,False,Europe
Bowburn,PopulatedPlace,United Kingdom,54.74,-1.53,1,7990.0,populated_place,,5080.0,False,Europe
San Marco in Lamis,PopulatedPlace,Italy,41.7167,15.6333,1,12112.0,populated_place,232820000.0,13583.0,False,Europe
"Thurston, Suffolk",PopulatedPlace,United Kingdom,52.2499,0.8259,1,12774.0,populated_place,,3232.0,False,Europe
Casabona,PopulatedPlace,Italy,39.25,16.95,1,10872.0,populated_place,68000000.0,3998.0,False,Europe
Reichenbach im Kandertal,PopulatedPlace,Switzerland,46.5833,7.65,1,6403.0,populated_place,125800000.0,2010.0,False,Europe
Hvidøre,Building,Denmark,55.7716,12.5944,1,14589.0,structure,,,True,Europe
Sterzing,PopulatedPlace,Italy,46.8833,11.4333,1,45152.0,populated_place,33000000.0,6950.0,False,Europe
United Nations Office at Geneva,Building,Switzerland,46.2267,6.14056,1,2989023.0,structure,,,False,Europe
Tibi Dam,Dam,Spain,38.5007,-0.557875,1,8499.0,structure,,,False,Europe
Uturoa,PopulatedPlace,France,-16.731,-151.443,1,18539.0,populated_place,,3736.0,True,Europe
Prosperidad (Madrid),PopulatedPlace,Spain,40.445,-3.67,1,5029.0,populated_place,1043280.0,37018.0,False,Europe
Bond Street station,Station,United Kingdom,51.514,-0.15,1,10391.0,structure,,,True,Europe
Budock Water,PopulatedPlace,United Kingdom,50.1467,-5.103,1,6702.0,populated_place,,1486.0,False,Europe
Stara,PopulatedPlace,Poland,51.2361,19.9558,0,5357.0,populated_place,,160.0,True,Europe
Tonteg,PopulatedPlace,United Kingdom,51.5679,-3.308,1,7317.0,populated_place,,4098.0,True,Europe
Puka-Puka,Island,France,-14.82,-138.82,1,30105.0,populated_place,,163.0,False,Europe
Licodia Eubea,PopulatedPlace,Italy,37.15,14.7,1,6167.0,populated_place,111000000.0,3082.0,False,Europe
Scandiano,PopulatedPlace,Italy,44.5972,10.6917,1,11812.0,populated_place,49000000.0,25896.0,False,Europe
Clynderwen,PopulatedPlace,United Kingdom,51.8315,-4.695,1,8042.0,populated_place,,932.0,True,Europe
"Lode, Cambridgeshire",PopulatedPlace,United Kingdom,52.24,0.24,1,9280.0,populated_place,,913.0,False,Europe
Aragon,PopulatedPlace,Spain,41.0,-1.0,1,777835.0,populated_place,47720000000.0,1326261.0,False,Europe
Espace Mittelland,Region,Switzerland,46.9,7.4,1,7688.0,populated_place,10062200000.0,1709900.0,False,Europe
Willesden Junction station,Station,United Kingdom,51.5327,-0.24547,1,49191.0,structure,,,False,Europe
Leighton Bromswold,PopulatedPlace,United Kingdom,52.366,-0.36,1,5946.0,populated_place,,210.0,False,Europe
Prins Karls Forland,Island,Norway,78.5703,11.1236,1,8123.0,populated_place,615000000.0,0.0,False,Europe
Bleiswijk,PopulatedPlace,Netherlands,52.01,4.54,1,9169.0,populated_place,21960000.0,10895.0,False,Europe
"Old Hospital de la Santa Creu, Barcelona",Building,Spain,41.4124,2.1743,1,13582.0,structure,,,False,Europe
Venetian Lagoon,Lake,Italy,45.4131,12.2972,1,190624.0,natural_place,550000000.0,,False,Europe
"Badminton, Gloucestershire",PopulatedPlace,United Kingdom,51.543,-2.285,1,33192.0,populated_place,,271.0,False,Europe
Finchley Road & Frognal railway station,Station,United Kingdom,51.5499,-0.1837,1,12512.0,structure,,,False,Europe
Ruvo del Monte,PopulatedPlace,Italy,40.85,15.5333,1,5777.0,populated_place,32000000.0,1122.0,False,Europe
Simister,PopulatedPlace,United Kingdom,53.549,-2.247,1,8863.0,populated_place,225000.0,650.0,True,Europe
"Burley, Hampshire",PopulatedPlace,United Kingdom,50.8273,-1.69994,1,46114.0,populated_place,,1350.0,False,Europe
Roccadaspide,PopulatedPlace,Italy,40.4333,15.1833,1,5098.0,populated_place,64160000.0,7289.0,False,Europe
Mönsterås,PopulatedPlace,Sweden,57.0333,16.45,1,8420.0,populated_place,4100000.0,4731.0,False,Europe
Tower Hill tube station,Station,United Kingdom,51.51,-0.076,1,53882.0,structure,,,False,Europe
Covão dos Conchos,Dam,Portugal,40.3639,-7.6109,1,20614.0,structure,,,False,Europe
"White Island, Isles of Scilly",Island,United Kingdom,49.9791,-6.29211,1,9155.0,populated_place,152809.0,0.0,False,Europe
Afsluitdijk,Bridge,Netherlands,53.0,5.16667,1,227321.0,structure,,,False,Europe
York Road tube station,Station,United Kingdom,51.5383,-0.1225,1,40255.0,structure,,,True,Europe
Brandenburg,PopulatedPlace,Germany,52.3619,13.0081,1,727296.0,populated_place,29480200000.0,2520198.0,False,Europe
Penselwood,PopulatedPlace,United Kingdom,51.0822,-2.3511,1,7714.0,populated_place,,273.0,False,Europe
Thun,PopulatedPlace,Switzerland,46.7667,7.63333,1,124966.0,populated_place,21570000.0,2012.0,False,Europe
Kiruna Church,HistoricBuilding,Sweden,67.852,20.233,1,13516.0,structure,,,False,Europe
Kayseri Province,Region,Turkey,38.625,35.8325,1,41772.0,populated_place,16917000000.0,1434357.0,False,Europe
El Rompido,PopulatedPlace,Spain,37.2167,-6.95,1,9405.0,populated_place,,1832.0,False,Europe
Penboyr,PopulatedPlace,United Kingdom,52.0017,-4.39667,1,5762.0,populated_place,,70.0,False,Europe
Flakstadøya,Island,Norway,68.067,13.2988,1,5795.0,populated_place,110000000.0,1119.0,False,Europe
Château Gütsch,Building,Switzerland,47.0515,8.295,1,12821.0,structure,,,True,Europe
Grayshott,PopulatedPlace,United Kingdom,51.1103,-0.75437,1,70815.0,populated_place,,2413.0,False,Europe
Broad Street railway station (England),Station,United Kingdom,51.5189,-0.0833333,1,51017.0,structure,,,False,Europe
Sandridge,PopulatedPlace,United Kingdom,51.7808,-0.30384,1,11924.0,populated_place,15177300.0,11451.0,False,Europe
"Gland, Switzerland",PopulatedPlace,Switzerland,46.42,6.27,1,69366.0,populated_place,8300000.0,2005.0,False,Europe
"Timsbury, Somerset",PopulatedPlace,United Kingdom,51.3268,-2.4757,1,11163.0,populated_place,,2624.0,False,Europe
San Vito Lo Capo,PopulatedPlace,Italy,38.1667,12.75,1,47894.0,populated_place,60120000.0,4690.0,False,Europe
Gulf of Corinth,Bay,Greece,38.2,22.5,1,64747.0,natural_place,,,False,Europe
Bisacquino,PopulatedPlace,Italy,37.7,13.25,1,18616.0,populated_place,64000000.0,4527.0,False,Europe
Cleadon,PopulatedPlace,United Kingdom,54.9554,-1.4008,1,18504.0,populated_place,,8427.0,True,Europe
"Levens, Cumbria",PopulatedPlace,United Kingdom,54.268,-2.789,1,5707.0,populated_place,,1049.0,False,Europe
Hounslow East tube station,Station,United Kingdom,51.473,-0.3563,1,14940.0,structure,,,False,Europe
Lewknor,PopulatedPlace,United Kingdom,51.672,-0.967,1,11900.0,populated_place,13130000.0,663.0,False,Europe
Villa Le Lac,Building,Switzerland,46.4684,6.82941,1,7741.0,structure,,,False,Europe
Horton in Ribblesdale,PopulatedPlace,United Kingdom,54.1497,-2.2961,1,22217.0,populated_place,,428.0,False,Europe
Roman Temple of Évora,HistoricBuilding,Portugal,38.5731,-7.90778,1,41753.0,structure,,,False,Europe
Llyn Llydaw,Lake,United Kingdom,53.0686,-4.04722,1,20631.0,natural_place,445154.0,,False,Europe
Røldal,PopulatedPlace,Norway,59.8333,6.81472,1,5804.0,populated_place,650000.0,353.0,False,Europe
Østfold,Region,Norway,59.3333,11.3333,1,73896.0,populated_place,4180700000.0,299647.0,False,Europe
Årjäng,PopulatedPlace,Sweden,59.3833,12.1333,1,6701.0,populated_place,4100000.0,3228.0,True,Europe
Geraneia,Mountain,Greece,38.021,23.1352,1,5991.0,natural_place,,,False,Europe
Cerreto Sannita,PopulatedPlace,Italy,41.2833,14.55,1,8440.0,populated_place,33350000.0,3741.0,False,Europe
Antwerp (district),Region,Belgium,51.2206,4.39972,1,9372.0,populated_place,,196465.0,False,Europe
Huggate,PopulatedPlace,United Kingdom,53.985,-0.657601,1,5987.0,populated_place,,342.0,False,Europe
"St Martin's Church, Wareham",HistoricBuilding,United Kingdom,50.6888,-2.1115,1,12073.0,structure,,,False,Europe
Smögen,PopulatedPlace,Sweden,58.3611,11.2319,1,28700.0,populated_place,1050000.0,1329.0,False,Europe
"Tyszkiewicz Palace, Warsaw",Building,Poland,52.2406,21.0172,1,5266.0,structure,,,True,Europe
"Montana, Switzerland",PopulatedPlace,Switzerland,46.3167,7.48333,1,10254.0,populated_place,4900000.0,2007.0,False,Europe
Voghera,PopulatedPlace,Italy,44.9925,9.00917,1,31376.0,populated_place,63000000.0,38464.0,True,Europe
Schloss Johannisburg,MilitaryStructure,Germany,49.9761,9.14167,1,26279.0,structure,,,False,Europe
Hoensbroek,PopulatedPlace,Netherlands,50.9208,5.92667,1,11300.0,populated_place,1580000.0,6825.0,True,Europe
Capena,PopulatedPlace,Italy,42.1403,12.5403,1,10640.0,populated_place,29510000.0,10699.0,True,Europe
Province of Taranto,Region,Italy,40.4667,17.2333,1,25467.0,populated_place,2437000000.0,581092.0,False,Europe
Mattinata,PopulatedPlace,Italy,41.7,16.05,1,10484.0,populated_place,73480000.0,6059.0,False,Europe
Chipstead railway station,Station,United Kingdom,51.309,-0.169,1,5988.0,structure,,,False,Europe
Maarssen,PopulatedPlace,Netherlands,52.1351,5.0413,1,16628.0,populated_place,30860000.0,39363.0,False,Europe
Linköping Cathedral,HistoricBuilding,Sweden,58.4111,15.6172,1,14780.0,structure,,,True,Europe
Borgholm Castle,Building,Sweden,56.8708,16.6442,1,28841.0,structure,,,True,Europe
Sommen,Lake,Sweden,58.02,15.185,1,13867.0,natural_place,132000000.0,,False,Europe
"St Andrew's Church, Roker",HistoricBuilding,United Kingdom,54.923,-1.367,1,5504.0,structure,,,False,Europe
Örnsköldsvik,PopulatedPlace,Sweden,63.2908,18.7156,1,112374.0,populated_place,33090000.0,32953.0,False,Europe
Storfjorden (Sunnmøre),Lake,Norway,62.1537,6.5776,1,10651.0,natural_place,,,False,Europe
Voorthuizen,PopulatedPlace,Netherlands,52.1861,5.60667,1,6019.0,populated_place,23370000.0,11340.0,False,Europe
The Jealous Wall,Building,Ireland,53.4763,-7.36851,1,10202.0,structure,,,False,Europe
"Grave, Netherlands",PopulatedPlace,Netherlands,51.7667,5.73333,1,19820.0,populated_place,3240000.0,8580.0,False,Europe
Little Baddow,PopulatedPlace,United Kingdom,51.742,0.573,1,7895.0,populated_place,,1586.0,False,Europe
"Llandough, Penarth",PopulatedPlace,United Kingdom,51.4492,-3.19667,1,9684.0,populated_place,1617600.0,1977.0,True,Europe
South Ruislip station,Station,United Kingdom,51.5565,-0.3988,1,19709.0,structure,,,False,Europe
Stolzenfels Castle,Castle,Germany,50.303,7.592,1,43989.0,structure,,,False,Europe
Deutschnofen,PopulatedPlace,Italy,46.4167,11.4333,1,5083.0,populated_place,112490000.0,4011.0,False,Europe
Czocha Castle,Castle,Poland,51.0306,15.3036,1,31708.0,structure,,,False,Europe
Zerbst Castle,Building,Germany,51.9639,12.0818,1,6292.0,structure,,,False,Europe
Province of Crotone,Region,Italy,39.0833,17.1167,1,17664.0,populated_place,1717000000.0,174890.0,True,Europe
Campi Bisenzio,PopulatedPlace,Italy,43.8167,11.1333,1,11511.0,populated_place,28600000.0,46878.0,False,Europe
Flaxley Abbey,ReligiousBuilding,United Kingdom,51.8361,-2.45194,1,10568.0,structure,,,False,Europe
Broseley,PopulatedPlace,United Kingdom,52.612,-2.481,1,30098.0,populated_place,,4929.0,False,Europe
"Blakeney, Gloucestershire",PopulatedPlace,United Kingdom,51.7612,-2.47636,1,7617.0,populated_place,,801.0,False,Europe
Lake Salda,Lake,Turkey,37.55,29.6833,1,43144.0,natural_place,43700000.0,,False,Europe
Älvkarleby,PopulatedPlace,Sweden,60.5667,17.45,1,6186.0,populated_place,2700000.0,1647.0,False,Europe
Great Bromley,PopulatedPlace,United Kingdom,51.8954,1.026,1,5982.0,populated_place,,1037.0,False,Europe
Kırklareli Province,Region,Turkey,41.6811,27.4714,1,46209.0,populated_place,6550000000.0,361737.0,False,Europe
Stokesley,PopulatedPlace,United Kingdom,54.4712,-1.1905,1,37076.0,populated_place,,4757.0,True,Europe
White House (Moscow),Building,Russia,55.7549,37.5731,1,157256.0,structure,,,False,Europe
Cantiano,PopulatedPlace,Italy,43.4667,12.6333,1,8757.0,populated_place,83250000.0,2049.0,False,Europe
Earlsfield railway station,Station,United Kingdom,51.4424,-0.1877,1,15994.0,structure,,,False,Europe
Scicli,PopulatedPlace,Italy,36.7881,14.6978,1,40633.0,populated_place,138720000.0,27051.0,False,Europe
Santa Maria del Popolo,Museum,Italy,41.9114,12.4764,1,91422.0,structure,,,False,Europe
Vorden,PopulatedPlace,Netherlands,52.1042,6.31306,1,9055.0,populated_place,67820000.0,8180.0,False,Europe
Bemowo,Region,Poland,52.2386,20.9133,1,7782.0,populated_place,24950000.0,123932.0,False,Europe
Caddington,PopulatedPlace,United Kingdom,51.8631,-0.45679,1,13926.0,populated_place,,3703.0,False,Europe
Bank and Monument stations,Station,United Kingdom,51.513,-0.088,1,126802.0,structure,,,False,Europe
Eppan an der Weinstraße,PopulatedPlace,Italy,46.45,11.2667,1,10062.0,populated_place,59700000.0,14226.0,False,Europe
Bishop's Cleeve,PopulatedPlace,United Kingdom,51.947,-2.061,1,29600.0,populated_place,,14068.0,False,Europe
Godstone,PopulatedPlace,United Kingdom,51.248,-0.064,1,35668.0,populated_place,18060000.0,5949.0,False,Europe
Vico nel Lazio,PopulatedPlace,Italy,41.7833,13.35,1,5843.0,populated_place,45800000.0,2314.0,False,Europe
Ballygowan,PopulatedPlace,United Kingdom,54.5,-5.8,1,18074.0,populated_place,,2957.0,False,Europe
Great Bardfield,PopulatedPlace,United Kingdom,51.9486,0.4375,1,14277.0,populated_place,,1227.0,True,Europe
Carmarthen,PopulatedPlace,United Kingdom,51.856,-4.316,1,263614.0,populated_place,,14185.0,False,Europe
Västerbotten,Region,Sweden,65.0,17.5,1,55252.0,populated_place,15093000000.0,220175.0,True,Europe
Limehouse,PopulatedPlace,United Kingdom,51.5158,-0.0318,1,200379.0,populated_place,,15986.0,False,Europe
Morchard Bishop,PopulatedPlace,United Kingdom,50.85,-3.75,1,6959.0,populated_place,,975.0,True,Europe
Boothstown,PopulatedPlace,United Kingdom,53.5024,-2.4252,1,10642.0,populated_place,,9599.0,False,Europe
"Colonna, Lazio",PopulatedPlace,Italy,41.8333,12.75,1,5396.0,populated_place,3500000.0,4290.0,False,Europe
Bidborough,PopulatedPlace,United Kingdom,51.1693,0.2371,1,5035.0,populated_place,,958.0,False,Europe
Ludvika,PopulatedPlace,Sweden,60.1333,15.1833,1,26130.0,populated_place,11000000.0,14498.0,False,Europe
Rostrevor,PopulatedPlace,United Kingdom,54.101,-6.201,1,38314.0,populated_place,,2800.0,False,Europe
Goldsworth Park,PopulatedPlace,United Kingdom,51.3178,-0.580444,1,10820.0,populated_place,,12000.0,False,Europe
Ballykinler,PopulatedPlace,United Kingdom,54.25,-5.8,1,11347.0,populated_place,,348.0,True,Europe
Longbridge Deverill,PopulatedPlace,United Kingdom,51.165,-2.187,1,7062.0,populated_place,,821.0,True,Europe
"Mountain Ash, Rhondda Cynon Taf",PopulatedPlace,United Kingdom,51.6814,-3.37916,1,40919.0,populated_place,,11230.0,False,Europe
Waardenburg,PopulatedPlace,Netherlands,51.8322,5.25583,1,5785.0,populated_place,12100000.0,2230.0,True,Europe
Kongsøya,Island,Norway,78.9333,28.5833,1,7523.0,populated_place,191000000.0,0.0,False,Europe
Blackley,PopulatedPlace,United Kingdom,53.5225,-2.22282,1,40260.0,populated_place,,10196.0,False,Europe
Poitiers Cathedral,HistoricBuilding,France,46.5803,0.3493,1,20784.0,structure,,,True,Europe
Legnago,PopulatedPlace,Italy,45.1944,11.3125,1,18753.0,populated_place,79660000.0,25204.0,True,Europe
Colerne,PopulatedPlace,United Kingdom,51.439,-2.262,1,16416.0,populated_place,,2972.0,True,Europe
Capri,Island,Italy,40.55,14.2333,1,821867.0,populated_place,10400000.0,12903.0,False,Europe
St Mellion,PopulatedPlace,United Kingdom,50.467,-4.272,1,9865.0,populated_place,,383.0,False,Europe
Villa Cavrois,Building,France,50.6667,3.16405,1,20312.0,structure,,,False,Europe
Millstätter See,Lake,Austria,46.795,13.5797,1,15541.0,natural_place,13300000.0,,True,Europe
St Canice's Cathedral,HistoricBuilding,Ireland,52.6568,-7.25714,1,33349.0,structure,,,False,Europe
"English College, Rome",HistoricBuilding,Italy,41.8956,12.4699,1,20603.0,structure,,,False,Europe
